传奇名称,底材名称,传奇来源,判定依据,Wiki匹配,Wiki查询URL,校验日期
Manastorm,Lacewood Spirit Shield,BOSS掉落,"Drops from Nightmare of Uhtred in 16x16px|link=|alt=Citadel Map Citadel Map Map Tier: 17 Monster Level: 84 Modifiable only with Chaos Orbs, Vaal Orbs, Delirium Orbs and Chisels Voices. Visions. Violence. They will haunt these grounds for all of eternity. Travel to this Map by using it in a personal Map Device. Maps can only be used once. 78x78px|link=|alt=|class=item-icon .",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Manastorm,2026-09-03
Replica Bated Breath,Chain Belt,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Bated_Breath,2026-09-03
Stranglegasp,Onyx Amulet,其它掉落,Can drop after completing a Blight encounter in a Blight-ravaged map.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Stranglegasp,2026-09-03
Eyes of the Greatwolf,Greatwolf Talisman,其它掉落,"Can drop from Spirit Beasts, or randomly obtained through the Beastcrafting recipe requiring The Black Mórrigan that creates a new Talisman.",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Eyes_of_the_Greatwolf,2026-09-03
Replica Farrul's Fur,Triumphant Lamellar,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Farrul's_Fur,2026-09-03
Entropic Devastation,Assassin's Mitts,BOSS掉落,Drops from Uber Shaper.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Entropic_Devastation,2026-09-03
Kitava's Feast,Void Axe,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Kitava's_Feast,2026-09-03
Replica Nebulis,Void Sceptre,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Nebulis,2026-09-03
Malachai's Mark,Murder Mitts,BOSS掉落,"Drops from Nightmare of the Depraved Trinity in 16x16px|link=|alt=Abomination Map Abomination Map Map Tier: 17 Monster Level: 84 Modifiable only with Chaos Orbs, Vaal Orbs, Delirium Orbs and Chisels Voices. Visions. Violence. They will haunt these grounds for all of eternity. Travel to this Map by using it in a personal Map Device. Maps can only be used once. 78x78px|link=|alt=|class=item-icon .",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Malachai's_Mark,2026-09-03
Replica Windripper,Imperial Bow,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Windripper,2026-09-03
Tidebreaker,Imperial Maul,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Tidebreaker,2026-09-03
Annihilation's Approach,Dragonscale Boots,BOSS掉落,Drops from Uber Exarch.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Annihilation's_Approach,2026-09-03
Eternal Damnation,Agate Amulet,BOSS掉落,"Drops from Lycia, Herald of the Scourge when 16x16px|link=|alt=The Power and the Promise The Power and the Promise Tome Relic Requires Level 64 The Herald of the Scourge drops Eternal Damnation Cannot have Inspiration Cannot recover Resolve Cannot be used with Forbidden Tomes below level 80 This item is destroyed when applied to a Sanctum Unmodifiable ""Building on the fear and hatred that deified him, Innocence threatened an eternity of flames for nonbelievers. The newcome...",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Eternal_Damnation,2026-09-03
Duskdawn,Maelström Staff,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Duskdawn,2026-09-03
Replica Atziri's Acuity,Vaal Gauntlets,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Atziri's_Acuity,2026-09-03
The Brine Crown,Prophet Crown,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Brine_Crown,2026-09-03
Venarius' Astrolabe,Astrolabe Amulet,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Venarius'_Astrolabe,2026-09-03
Garukhan's Flight,Stealth Boots,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Garukhan's_Flight,2026-09-03
Tukohama's Fortress,Ebony Tower Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Tukohama's_Fortress,2026-09-03
Legacy of the Rose,Judgement Staff,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Legacy_of_the_Rose,2026-09-03
Starcaller,Abyssal Axe,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Starcaller,2026-09-03
Festering Resentment,Demon Dagger,BOSS掉落,Drops from Uber Incarnation of Neglect.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Festering_Resentment,2026-09-03
Cloak of Tawm'r Isley,Savant's Robe,其它掉落,Can be obtained randomly as an extra unique from Riker's Rank 3 reward room chest in Transportation Syndicate Hideouts.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Cloak_of_Tawm'r_Isley,2026-09-03
Wing of the Wyvern,Imperial Bow,BOSS掉落,Drops from Uber Incarnation of Fear.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Wing_of_the_Wyvern,2026-09-03
Waxen Soul,Saint's Hauberk,其它掉落,"One of two possible guaranteed rewards alongside 16x16px|link=|alt=An Audience With The King An Audience With The King On the edge of existence, he watches with ire. Open a portal to the Crux of Nothingness by using this item in a personal Map Device. Can only be used once. While viewing your Atlas, Right-click this item to pinpoint its location. 78x78px|link=|alt=|class=item-icon from Nameless Rituals, and can rarely be offered as a reward in other types of Rituals.",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Waxen_Soul,2026-09-03
The Golden Charlatan,Lion Sword,BOSS掉落,Drops from Uber Incarnation of Dread.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Golden_Charlatan,2026-09-03
Hand of Heresy,Martyr Gloves,其它掉落,Can be obtained by taking this item from a mercenary with this item equipped after winning a duel.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Hand_of_Heresy,2026-09-03
Eclipse Solaris,Crystal Wand,其它掉落,Wiki drop_enabled!=1；不属于当前普通掉落池,按传奇名回退匹配（底材版本不同）,https://www.poewiki.net/wiki/Eclipse_Solaris,2026-09-03
Arakaali's Fang,Fiend Dagger,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Arakaali's_Fang,2026-09-03
Martyr of Innocence,Highborn Staff,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Martyr_of_Innocence,2026-09-03
Song of the Sirens,Fishing Rod,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Song_of_the_Sirens,2026-09-03
Replica Alberon's Warpath,Soldier Boots,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Alberon's_Warpath,2026-09-03
Replica Trypanon,Great Mallet,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Trypanon,2026-09-03
Indigon,Hubris Circlet,BOSS掉落,Indigon can only drop from the Uber Elder in The Shaper's Realm.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Indigon,2026-09-03
Gruthkul's Pelt,Wyrmscale Doublet,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Gruthkul's_Pelt,2026-09-03
Dialla's Malefaction,Sage's Robe,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Dialla's_Malefaction,2026-09-03
Binds of Bloody Vengeance,Vanguard Belt,其它掉落,Can be obtained by taking this item from a mercenary with this item equipped after winning a duel.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Binds_of_Bloody_Vengeance,2026-09-03
Ralakesh's Impatience,Riveted Boots,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Ralakesh's_Impatience,2026-09-03
Skyforth,Sorcerer Boots,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Skyforth,2026-09-03
The Tides of Time,Vanguard Belt,BOSS掉落,Drops from Uber Shaper.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Tides_of_Time,2026-09-03
The Eternity Shroud,Blood Raiment,BOSS掉落,Drops from Uber Uber Elder.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Eternity_Shroud,2026-09-03
Wraithlord,Bone Circlet,BOSS掉落,"Drops from Nightmare of Catarina in 16x16px|link=|alt=Ziggurat Map Ziggurat Map Map Tier: 17 Monster Level: 84 Modifiable only with Chaos Orbs, Vaal Orbs, Delirium Orbs and Chisels Voices. Visions. Violence. They will haunt these grounds for all of eternity. Travel to this Map by using it in a personal Map Device. Maps can only be used once. 78x78px|link=|alt=|class=item-icon .",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Wraithlord,2026-09-03
Disintegrator,Maelström Staff,BOSS掉落,Can only drop from the Uber Elder in The Shaper's Realm.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Disintegrator,2026-09-03
Replica Maloney's Mechanism,Ornate Quiver,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Maloney's_Mechanism,2026-09-03
The Dark Seer,Shadow Sceptre,BOSS掉落,"Drops from Nightmare of Lycia in 16x16px|link=|alt=Sanctuary Map Sanctuary Map Map Tier: 17 Monster Level: 84 Modifiable only with Chaos Orbs, Vaal Orbs, Delirium Orbs and Chisels Voices. Visions. Violence. They will haunt these grounds for all of eternity. Travel to this Map by using it in a personal Map Device. Maps can only be used once. 78x78px|link=|alt=|class=item-icon .",传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Dark_Seer_(Life_ES),2026-09-03
Enmity's Embrace,Vermillion Ring,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Enmity's_Embrace,2026-09-03
Zana's Ingenuity,Prismatic Ring,BOSS掉落,Drops from Uber Sirus.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Zana's_Ingenuity,2026-09-03
Shade of Solaris,Sage Wand,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Shade_of_Solaris,2026-09-03
Servant of Decay,Torturer Garb,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Servant_of_Decay,2026-09-03
Void Battery,Prophecy Wand,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Void_Battery,2026-09-03
The Brass Dome,Gladiator Plate,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Brass_Dome,2026-09-03
Light of Lunaris,Jingling Spirit Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Light_of_Lunaris,2026-09-03
Seven-League Step,Rawhide Boots,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Seven-League_Step,2026-09-03
The Devourer of Minds,Pig-Faced Bascinet,BOSS掉落,Drops from Uber Uber Elder.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Devourer_of_Minds,2026-09-03
Aegis Aurora,Champion Kite Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Aegis_Aurora,2026-09-03
Subsume the Source,Faithful Helmet,BOSS掉落,"Drops from Zorath, Vile Assembled.",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Subsume_the_Source,2026-09-03
Seven Teachings,Waxed Garb,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Seven_Teachings,2026-09-03
Atziri's Splendour,Sacrificial Garb,BOSS掉落,Only drops from Uber Atziri.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Atziri's_Splendour_(Armour_and_Energy_Shield),2026-09-03
Shroud of the Lightless,Carnal Armour,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Shroud_of_the_Lightless_(1_Abyssal_Socket),2026-09-03
The Dark Monarch,Lich's Circlet,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Dark_Monarch,2026-09-03
Spinesnatch,Fleshripper,BOSS掉落,"Drops from Zorath, Vile Assembled.",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Spinesnatch,2026-09-03
Windripper,Imperial Bow,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Windripper,2026-09-03
Magna Eclipsis,Pinnacle Tower Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Magna_Eclipsis,2026-09-03
Farrul's Fur,Triumphant Lamellar,BOSS掉落,"Farrul's Fur can only drop from Farrul, First of the Plains in Farrul's Den (requires area level 80+).",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Farrul's_Fur,2026-09-03
Doryani's Fist,Vaal Gauntlets,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Doryani's_Fist,2026-09-03
Farrul's Chase,Slink Boots,BOSS掉落,"Farrul's Chase can only drop from Farrul, First of the Plains in Farrul's Den.",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Farrul's_Chase,2026-09-03
Ryslatha's Coil,Studded Belt,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Ryslatha's_Coil,2026-09-03
Cospri's Malice,Jewelled Foil,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Cospri's_Malice,2026-09-03
Grace of the Goddess,Prophecy Wand,BOSS掉落,Drops from Uber Maven.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Grace_of_the_Goddess,2026-09-03
Rathpith Globe,Titanium Spirit Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Rathpith_Globe,2026-09-03
Doppelgänger Guise,Sadist Garb,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Doppelg%C3%A4nger_Guise,2026-09-03
The Queen's Hunger,Vaal Regalia,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Queen's_Hunger,2026-09-03
Broken Faith,Archon Kite Shield,其它掉落,"Broken Faith drops from Renegades warband member. Renegades warband can be encountered from specific prophecies, Renegade Base Azurite Mine node, from opening Renegades Cache, and from 16x16px|link=|alt=Acid Caverns Map Acid Caverns Map Map Tier: 14 Monster Level: 81 Guild Character : ÿ Travel to this Map by using it in the Templar Laboratory or a personal Map Device. Maps can only be used once. 78x78px|link=|alt=|class=item-icon .",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Broken_Faith,2026-09-03
Kaom's Heart,Glorious Plate,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Kaom's_Heart,2026-09-03
Prism Guardian,Archon Kite Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Prism_Guardian,2026-09-03
Inpulsa's Broken Heart,Sadist Garb,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Inpulsa's_Broken_Heart,2026-09-03
Doryani's Delusion,Titan Greaves,BOSS掉落,Doryani's Delusion drops from The Apex Assembly in Doryani's Machinarium. It cannot be 16x16px|link=|alt=chanced Orb of Chance Stack Size: 20 Upgrades a normal item to a random rarity Right click this item then left click a normal item to apply it. 78x78px|link=|alt=|class=item-icon .；Doryani's Delusion drops from The Apex Assembly in Doryani's Machinarium. It cannot be 16x16px|link=|alt=chanced Orb of Chance Stack Size: 20 Upgrades a normal item to a random rarity Right c...,按传奇名回退匹配（底材版本不同）,https://www.poewiki.net/wiki/Doryani's_Delusion_(Armour),2026-09-03
Replica Red Trail,Titan Greaves,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Red_Trail,2026-09-03
Replica Kaom's Heart,Glorious Plate,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Kaom's_Heart,2026-09-03
Viridi's Veil,Praetor Crown,BOSS掉落,Drops from Uber Maven.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Viridi's_Veil,2026-09-03
The Immortal Will,Archon Kite Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Immortal_Will,2026-09-03
Azadi Crest,Lacquered Buckler,其它掉落,Can be obtained by taking this item from a mercenary with this item equipped after winning a duel.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Azadi_Crest,2026-09-03
Badge of the Brotherhood,Turquoise Amulet,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Badge_of_the_Brotherhood,2026-09-03
The Hateful Accuser,Nameless Ring,其它掉落,Available as a reward from Rituals.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Hateful_Accuser,2026-09-03
Coiling Whisper,Amethyst Ring,BOSS掉落,Drops from Uber Incarnation of Fear.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Coiling_Whisper,2026-09-03
Sporeguard,Saint's Hauberk,其它掉落,Can drop after completing a Blight encounter in a Blighted map.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Sporeguard,2026-09-03
Doryani's Prototype,Saint's Hauberk,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Doryani's_Prototype,2026-09-03
